Match_ID,Season,Team1,Team2,Stadium,City,Stadium_Capacity,Team_Popularity_Index,Match_Stage,Rivalry_Match,Day_of_Week,City_Income_Index,Avg_Ticket_Price,Tickets_Sold
1,2020,CSK,MI,Narendra Modi Stadium,Ahmedabad,132000,9.65,League,1,Tuesday,7.2,1771,111371
2,2020,CSK,GT,M. Chinnaswamy Stadium,Bangalore,40000,9.1,League,0,Monday,8.8,1322,40000
3,2020,CSK,KKR,MA Chidambaram Stadium,Chennai,50000,9.25,Playoffs,1,Friday,7.8,1308,50000
4,2020,GT,KKR,Sawai Mansingh Stadium,Jaipur,30000,8.65,League,0,Thursday,7.1,3613,30000
5,2020,RR,MI,Eden Gardens,Kolkata,65000,8.8,League,0,Wednesday,7.5,2338,65000
6,2020,RCB,KKR,Arun Jaitley Stadium,Delhi,41000,9.15,League,1,Monday,7.9,2756,41000
7,2020,CSK,SRH,Arun Jaitley Stadium,Delhi,41000,8.8,League,0,Sunday,7.9,1377,41000
8,2020,PBKS,GT,M. Chinnaswamy Stadium,Bangalore,40000,8,League,0,Monday,8.8,3461,40000
9,2020,RR,SRH,MA Chidambaram Stadium,Chennai,50000,7.95,League,0,Monday,7.8,3908,50000
10,2020,KKR,RR,M. Chinnaswamy Stadium,Bangalore,40000,8.4,League,0,Sunday,8.8,1613,40000
11,2020,DC,RR,Rajiv Gandhi Stadium,Hyderabad,39000,7.9,League,0,Tuesday,7.4,2716,39000
12,2020,SRH,KKR,Narendra Modi Stadium,Ahmedabad,132000,8.35,League,0,Friday,7.2,3800,93076
13,2020,RCB,GT,MA Chidambaram Stadium,Chennai,50000,9,League,0,Thursday,7.8,2754,50000
14,2020,RR,GT,MA Chidambaram Stadium,Chennai,50000,8.25,League,0,Sunday,7.8,4347,50000
15,2020,MI,KKR,Wankhede Stadium,Mumbai,33000,9.2,League,0,Thursday,9,2296,33000
16,2020,CSK,KKR,Arun Jaitley Stadium,Delhi,41000,9.25,League,1,Saturday,7.9,3244,41000
17,2020,DC,PBKS,Eden Gardens,Kolkata,65000,7.65,League,0,Tuesday,7.5,2210,60093
18,2020,GT,LSG,Narendra Modi Stadium,Ahmedabad,132000,8.35,League,0,Friday,7.2,2835,99671
19,2020,SRH,KKR,Eden Gardens,Kolkata,65000,8.35,Playoffs,0,Thursday,7.5,1572,65000
20,2020,MI,CSK,Eden Gardens,Kolkata,65000,9.65,League,1,Sunday,7.5,3987,65000
21,2020,DC,CSK,Sawai Mansingh Stadium,Jaipur,30000,8.75,League,0,Friday,7.1,3117,30000
22,2020,GT,RR,Wankhede Stadium,Mumbai,33000,8.25,League,0,Saturday,9,3399,33000
23,2020,RR,SRH,M. Chinnaswamy Stadium,Bangalore,40000,7.95,League,0,Thursday,8.8,1847,40000
24,2020,PBKS,MI,Narendra Modi Stadium,Ahmedabad,132000,8.55,Playoffs,0,Sunday,7.2,1931,104150
25,2020,GT,CSK,Narendra Modi Stadium,Ahmedabad,132000,9.1,Playoffs,0,Friday,7.2,2014,107486
26,2020,RCB,SRH,Eden Gardens,Kolkata,65000,8.7,Playoffs,0,Sunday,7.5,3372,65000
27,2020,MI,SRH,Rajiv Gandhi Stadium,Hyderabad,39000,8.75,League,0,Monday,7.4,2686,39000
28,2020,RR,KKR,Wankhede Stadium,Mumbai,33000,8.4,League,0,Friday,9,1522,33000
29,2020,CSK,PBKS,M. Chinnaswamy Stadium,Bangalore,40000,8.6,Playoffs,0,Sunday,8.8,1715,40000
30,2020,RCB,PBKS,Eden Gardens,Kolkata,65000,8.5,League,0,Friday,7.5,3684,62775
31,2020,DC,KKR,MA Chidambaram Stadium,Chennai,50000,8.3,League,0,Thursday,7.8,3951,50000
32,2020,SRH,PBKS,Rajiv Gandhi Stadium,Hyderabad,39000,7.7,League,0,Tuesday,7.4,2120,39000
33,2020,CSK,SRH,Wankhede Stadium,Mumbai,33000,8.8,Playoffs,0,Tuesday,9,3610,33000
34,2020,KKR,MI,M. Chinnaswamy Stadium,Bangalore,40000,9.2,League,0,Tuesday,8.8,1476,40000
35,2020,MI,SRH,M. Chinnaswamy Stadium,Bangalore,40000,8.75,Playoffs,0,Tuesday,8.8,2340,40000
